Cat,,Box,miao_E_box
Cat,,Button,miao_E_button_0
Cat,,Button,miao_E_button_1
Cat,,Button,miao_E_button_2
Cat,,Collide,miao_E_collide
Cat,,End,miao_E_end
Cat,,Box,miao_J_box
Cat,,Button,miao_J_button_0
Cat,,Button,miao_J_button_1
Cat,,Button,miao_J_button_2
Cat,,Button,miao_J_button_3
Cat,,Collide,miao_J_collide
Cat,,End,miao_J_end
Cat,,Box,miao_L_box
Cat,,Button,miao_L_button_0
Cat,,Button,miao_L_button_1
Cat,,Button,miao_L_button_2
Cat,,Collide,miao_L_collide
Cat,,End,miao_L_end
Cat,,Box,miao_V_box
Cat,,Button,miao_V_button_0
Cat,,Button,miao_V_button_1
Cat,,Collide,miao_V_collide
Cat,,End,miao_V_end
